"kolam_png_hash","artist_id","jathi_standard_all","size","entropy","entropy_exponentiated","total_gestures","n_unique_gestures","gesture_gini","density","age","duration_practice"
"bdc9e6e","ann",6,7,1.06,2.88637098926796,56,3,0.214285714285714,1.14285714285714,29,19
"00dc108","att",1,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,45,35
"213f430","att",1,4,1.06,2.88637098926796,36,3,0.222222222222222,2.25,45,35
"3a42917","att",1,5,1.21,3.35348465254902,32,4,0.416666666666667,1.28,45,35
"3b42c91","att",1,5,2.09,8.08491516430506,30,9,0.283333333333333,1.2,45,35
"52e39a4","att",1,5,0.95,2.58570965931585,60,4,0.644444444444444,2.4,45,35
"6df42e5","att",1,5,0.68,1.97387773223045,48,2,0.166666666666667,1.92,45,35
"85f3e9d","att",1,4,0.95,2.58570965931585,40,3,0.4,2.5,45,35
"b760f18","att",1,7,1.26,3.52542148736538,60,6,0.626666666666667,1.22448979591837,45,35
"3cdb24c","awb",10,5,1.09,2.97427407256307,49,4,0.523809523809524,1.96,25,11
"4fa958f","awb",10,11,1.3,3.66929666761924,116,5,0.517241379310345,0.958677685950413,25,11
"d525c73","awb",10,6,0.6,1.82211880039051,64,3,0.75,1.77777777777778,25,11
"1f94afa","awb",10,13,1.45,4.26311451516882,196,8,0.661807580174927,1.15976331360947,25,11
"487575d","awb",10,5,1.1,3.00416602394643,56,4,0.476190476190476,2.24,25,11
"8304652","awb",10,7,1.24,3.45561346476268,48,4,0.388888888888889,0.979591836734694,25,11
"257d6b6","awb",10,8,1.17,3.2219926385285,88,4,0.454545454545455,1.375,25,11
"ba4997e","awb",10,8,1.39,4.0148500529942,92,6,0.565217391304348,1.4375,25,11
"f1f6e27","awb",10,11,0.73,2.07508060767412,177,6,0.846327683615819,1.46280991735537,25,11
"11255ac","b4d",6,6,1.33,3.78104338756878,56,5,0.5,1.55555555555556,19,11
"14eca04","b4d",6,5,1.15,3.15819290968977,28,4,0.428571428571429,1.12,19,11
"544ab76","b4d",6,5,1.36,3.89619330179521,25,5,0.44,1,19,11
"7a3c9d2","b4d",6,3,1.04,2.82921701435156,16,3,0.25,1.77777777777778,19,11
"8d017b9","b4d",6,5,1.18,3.25437420288967,53,4,0.459119496855346,2.12,19,11
"990066d","b4d",6,3,0.97,2.63794445935415,16,3,0.375,1.77777777777778,19,11
"a6ae03d","b4d",6,5,1.01,2.74560101501692,24,3,0.333333333333333,0.96,19,11
"bd1741b","b4d",6,9,1.66,5.2593108444469,81,7,0.448559670781893,1,19,11
"d9936e7","b4d",6,5,1.19,3.28708120738312,26,4,0.435897435897436,1.04,19,11
"fa59c23","b4d",6,4,1.35,3.85742553069697,28,4,0.142857142857143,1.75,19,11
"163c69a","b4d",6,8,1.37,3.93535069547047,78,6,0.528205128205128,1.21875,19,11
"26a8243","b4d",6,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,19,11
"5c0013e","b4d",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,19,11
"67f651d","b4d",6,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,19,11
"80fbda0","b4d",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,19,11
"aa44d47","b4d",6,11,1.34,3.81904350536634,144,5,0.430555555555556,1.1900826446281,19,11
"f832483","b4d",6,9,1.5,4.48168907033806,96,7,0.5,1.18518518518519,19,11
"1ae983f","b5h",15,7,1.17,3.2219926385285,56,5,0.625,1.14285714285714,54,44
"85f9886","b5h",15,5,1.3,3.66929666761924,28,6,0.614285714285714,1.12,54,44
"99b0707","b5h",15,9,1.11,3.03435839443568,100,5,0.66,1.23456790123457,54,44
"bd8bb2a","b5h",15,6,0.6,1.82211880039051,50,3,0.76,1.38888888888889,54,44
"be64e65","b5h",15,5,1.7,5.4739473917272,24,7,0.388888888888889,0.96,54,44
"df6abe2","b5h",15,7,1.01,2.74560101501692,72,4,0.592592592592593,1.46938775510204,54,44
"00c48c0","b5h",15,8,1.43,4.17869919192325,76,6,0.505263157894737,1.1875,54,44
"01d50f5","b5h",15,9,1.13,3.09565650012471,140,4,0.504761904761905,1.72839506172839,54,44
"0478756","b5h",15,8,1.37,3.93535069547047,78,6,0.528205128205128,1.21875,54,44
"d5f5363","b5h",15,7,1.29,3.63278655575281,56,5,0.517857142857143,1.14285714285714,54,44
"5d3559c","b5h",15,7,0.95,2.58570965931585,76,4,0.649122807017544,1.55102040816327,54,44
"b671a9c","b5h",15,12,1.4,4.05519996684467,172,6,0.558139534883721,1.19444444444444,54,44
"8a51068","b5h",15,9,1,2.71828182845905,144,4,0.611111111111111,1.77777777777778,54,44
"1d27f86","bcm",6,5,1.19,3.28708120738312,26,4,0.435897435897436,1.04,30,15
"3092787","bcm",6,9,1.76,5.81243739440259,82,7,0.369918699186992,1.01234567901235,30,15
"8bd353b","bcm",6,7,1.27,3.56085256235552,65,5,0.538461538461538,1.3265306122449,30,15
"ad807eb","bcm",6,7,1.14,3.12676836518616,64,4,0.5,1.30612244897959,30,15
"09ac91a","bcm",6,9,1.45,4.26311451516882,88,6,0.509090909090909,1.08641975308642,30,15
"4d4d9fd","bcm",6,7,1.16,3.18993327611618,66,4,0.474747474747475,1.3469387755102,30,15
"d154de5","bcm",6,5,0.79,2.20339642625594,72,3,0.611111111111111,2.88,30,15
"f8e95ab","bcm",6,13,0.83,2.29331874026418,100,3,0.44,0.591715976331361,30,15
"598d61f","bcm",6,5,1.1,3.00416602394643,56,4,0.476190476190476,2.24,30,15
"9c2c367","bcm",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,30,15
"bda6edc","bcm",6,11,1.64,5.15516951223468,121,8,0.56788665879575,1,30,15
"eedb415","bcm",6,7,1.52,4.57222519514216,52,6,0.446153846153846,1.06122448979592,30,15
"f44ef11","bcm",6,7,1.2,3.32011692273655,48,4,0.444444444444444,0.979591836734694,30,15
"fb93ef3","bcm",6,4,0.85,2.33964685192599,18,3,0.555555555555556,1.125,30,15
"0cfb8b4","bcm",6,5,1.32,3.74342137726086,49,5,0.469387755102041,1.96,30,15
"7d0350c","bcm",6,7,1.24,3.45561346476268,44,4,0.393939393939394,0.897959183673469,30,15
"0337881","bcm",6,7,0.95,2.58570965931585,49,4,0.63265306122449,1,30,15
"5380103","bcm",6,4,1.15,3.15819290968977,28,4,0.428571428571429,1.75,30,15
"613cb77","bcm",6,10,0.39,1.47698079388264,162,3,0.876543209876543,1.62,30,15
"6b65007","bcm",6,5,1.35,3.85742553069697,28,6,0.542857142857143,1.12,30,15
"53e7827","bdp",14,9,1.49,4.43709551900366,84,6,0.485714285714286,1.03703703703704,23,1
"4703257","bdp",14,5,1.1,3.00416602394643,56,4,0.476190476190476,2.24,23,1
"8e1ae55","bdp",14,7,1.04,2.82921701435156,49,4,0.578231292517007,1,23,1
"9f76110","bdp",14,9,1.3,3.66929666761924,80,5,0.5,0.987654320987654,23,1
"a5e352d","bdp",14,9,1.14,3.12676836518616,105,7,0.73968253968254,1.2962962962963,23,1
"e4a6af4","bdp",14,15,1.52,4.57222519514216,224,8,0.637755102040816,0.995555555555556,23,1
"0056d8e","bdp",14,5,0.74,2.09593551449436,32,3,0.625,1.28,23,1
"00da634","bdp",14,7,1.32,3.74342137726086,57,6,0.6,1.16326530612245,23,1
"1477c00","bdp",14,7,1.63,5.10387471853673,52,6,0.353846153846154,1.06122448979592,23,1
"226e316","bdp",14,7,1.04,2.82921701435156,49,4,0.578231292517007,1,23,1
"27ff4b6","bdp",14,7,1.19,3.28708120738312,57,5,0.614035087719298,1.16326530612245,23,1
"6b2c125","bdp",14,5,1.36,3.89619330179521,25,5,0.44,1,23,1
"6de5a9e","bdp",14,3,0.99,2.69123447234926,16,4,0.625,1.77777777777778,23,1
"a7d3aa7","bdp",14,9,1.17,3.2219926385285,88,4,0.46969696969697,1.08641975308642,23,1
"bfa14d0","bdp",14,7,0.95,2.58570965931585,64,4,0.625,1.30612244897959,23,1
"f8e6025","bdp",14,3,1.2,3.32011692273655,17,4,0.411764705882353,1.88888888888889,23,1
